Disease Name (Common),Scientific Name,Affected Plants,Key Symptoms,Treatment/Prevention
Aster yellows,,"Vegetables, Flowers",Unusual plant growth or color,N/A
Clubroot,,Vegetables,N/A,N/A
Gray mold,Botrytis,"Flower garden, Strawberry, Raspberry, Hemp (Cannabis sativa)",N/A,N/A
Powdery mildew,,"Flower garden, Trees, Shrubs, Hemp (Cannabis sativa)",N/A,N/A
Rust,,Flower garden,N/A,N/A
White mold,,Garden,N/A,N/A
Apple Scab,,"Apples, Crabapples, Trees, Shrubs",N/A,N/A
Black rot,,Apple,N/A,N/A
Cedar-apple rust,,"Apple, Trees, Shrubs",N/A,N/A
Fire blight,,"Apple, Pear, Trees, Shrubs",N/A,N/A
Sooty blotch,,Apple,N/A,N/A
Flyspeck,,Apple,N/A,N/A
Armillaria root rot,,"Blueberry, Trees",N/A,N/A
Blueberry witches' broom,,Blueberry,N/A,N/A
Black knot,,"Stone fruit, Trees, Shrubs",N/A,N/A
Brown rot,,Stone fruit,N/A,N/A
Cherry leaf spot,,Stone fruit,N/A,N/A
Plum pockets,,Stone fruit,N/A,N/A
Angular leaf spot,,Strawberry,N/A,N/A
Anthracnose fruit rot,,Strawberry,N/A,N/A
Black root rot,,Strawberry,N/A,N/A
Leaf blight,,Strawberry,N/A,N/A
Leaf scorch,,Strawberry,N/A,N/A
Leaf spot,,"Strawberry, Raspberry, Trees, Shrubs",N/A,N/A
Leather rot,,Strawberry,N/A,N/A
Crown gall,,"Trees, Nursery Crops",N/A,N/A
Dutch elm disease,,Trees,N/A,N/A
Eutypella canker,,Trees,N/A,N/A
Golden canker,,Pagoda dogwood,N/A,N/A
Hypoxylon canker,,Trees,N/A,N/A
Lilac issues,,Shrubs,N/A,N/A
Oak wilt,,Trees,N/A,N/A
Brown spot needle blight,,"Evergreen trees, Shrubs",N/A,N/A
Cytospora canker,,"Evergreen trees, Shrubs",N/A,N/A
Diplodia shoot blight,,"Evergreen trees, Shrubs",N/A,N/A
Dothistroma needle blight,,"Evergreen trees, Shrubs",N/A,N/A
Dwarf mistletoe,,Evergreen trees,N/A,N/A
Lirula needle blight,,Evergreen trees,N/A,N/A
Pine gall rusts,,Evergreen trees,N/A,N/A
Pine needle rust,,Evergreen trees,N/A,N/A
Rhizosphaera needle cast,,Evergreen trees,N/A,N/A
Sirococcus blight,,Conifers,N/A,N/A
Spruce needle rust,,Evergreen trees,N/A,N/A
Tomentosus root rot,,Evergreen trees,N/A,N/A
White pine blister rust,,Evergreen trees,N/A,N/A
X-Disease,,Cherry (Prunus spp.),N/A,N/A
Boxwood Blight,,Boxwood (Buxus spp.),N/A,N/A
Rasp Leaf,,Cherry (Prunus spp.),N/A,N/A
Black Leg (Phoma Stem Canker),,Broccoli (Brassica oleracea),N/A,N/A
Chlorotic Leaf Spot (Light Leaf Spot),,Turnip Rutabaga (Brassica spp.),N/A,N/A
