Disease Name (Common),Scientific Name,Affected Plants,Key Symptoms,Treatment/Prevention
Aster Yellows,,"Vegetables, Flowers",Unusual plant growth or color,N/A
Clubroot,,Vegetables,N/A,N/A
Gray Mold,Botrytis,"Flower garden, Strawberry, Raspberry",N/A,N/A
Powdery Mildew,,"Flower garden, Trees, Shrubs, Hemp",N/A,N/A
Rust,,Flower garden,N/A,N/A
White Mold,,Garden,N/A,N/A
Apple Scab,,"Apples, Crabapples",N/A,N/A
Black Rot,,Apple,N/A,N/A
Cedar-Apple Rust,,"Apple, Crabapple, Evergreen trees shrubs",N/A,N/A
Fire Blight,,"Apple, Pear",N/A,N/A
Sooty Blotch,,Apple,N/A,N/A
Flyspeck,,Apple,N/A,N/A
Armillaria Root Rot,,"Blueberry, Trees",N/A,N/A
Blueberry Witches' Broom,,Blueberry,N/A,N/A
Viruses,,Backyard fruit,N/A,N/A
Late Leaf Rust,,Raspberry,N/A,N/A
Orange Rust,,Raspberry,N/A,N/A
Raspberry Cane Diseases,,Raspberry,N/A,N/A
Raspberry Leaf Spot,,Raspberry,N/A,N/A
Black Knot,,Stone fruit,N/A,N/A
Brown Rot,,Stone fruit,N/A,N/A
Cherry Leaf Spot,,Stone fruit,N/A,N/A
Plum Pockets,,Stone fruit,N/A,N/A
Angular Leaf Spot,,Strawberry,N/A,N/A
Anthracnose Fruit Rot,,Strawberry,N/A,N/A
Black Root Rot,,Strawberry,N/A,N/A
Leaf Blight,,Strawberry,N/A,N/A
Leaf Scorch,,Strawberry,N/A,N/A
Leaf Spot,,"Strawberry, Trees, Shrubs",N/A,N/A
Leather Rot,,Strawberry,N/A,N/A
Crown Gall,,Nursery Crops,N/A,N/A
Dutch Elm Disease,,Deciduous trees shrubs,N/A,N/A
Eutypella Canker,,Deciduous trees shrubs,N/A,N/A
Golden Canker,,Pagoda dogwood,N/A,N/A
Hypoxylon Canker,,Deciduous trees shrubs,N/A,N/A
Lilac Issues,,Deciduous trees shrubs,N/A,N/A
Oak Wilt,,Deciduous trees shrubs,N/A,N/A
Brown Spot Needle Blight,,Evergreen trees shrubs,N/A,N/A
Cytospora Canker,,Evergreen trees shrubs,N/A,N/A
Diplodia Shoot Blight,,Evergreen trees shrubs,N/A,N/A
Dothistroma Needle Blight,,Evergreen trees shrubs,N/A,N/A
Dwarf Mistletoe,,Evergreen trees shrubs,N/A,N/A
Lirula Needle Blight,,Evergreen trees shrubs,N/A,N/A
Pine Gall Rusts,,Evergreen trees shrubs,N/A,N/A
Pine Needle Rust,,Evergreen trees shrubs,N/A,N/A
Rhizosphaera Needle Cast,,Evergreen trees shrubs,N/A,N/A
Sirococcus Blight,,Conifers,N/A,N/A
Spruce Needle Rust,,Evergreen trees shrubs,N/A,N/A
Tomentosus Root Rot,,Evergreen trees shrubs,N/A,N/A
White Pine Blister Rust,,Evergreen trees shrubs,N/A,N/A
