Model Name,Brand,CPU,RAM,Storage,Price (INR),Sales Rank (Estimated)
Lenovo IdeaPad Slim 83K100CJIN,Lenovo,13th Gen Intel Core i5-13620H,16GB,512GB SSD,61990,1
HP 15s-fq5327TU,HP,12th Gen Intel Core i3-1215U,8GB,512GB SSD,24999,2
Acer Aspire A715-76G UN.QMYSI.002,Acer,12th Gen Intel Core i5-12450H,16GB,512GB SSD,39999,3
Acer Nitro V ANV16-71 NH.QTNSI.003,Acer,14th Gen Intel Core i5-14450HX,16GB,512GB SSD,84990,4
Acer Nitro V ANV15-41 UN.QPFSI.002,Acer,AMD Ryzen 5 7535HS,16GB,512GB SSD,49999,5
Samsung Galaxy Book NP750XGJ-LG4IN,Samsung,13th Gen Intel Core i3-1315U,8GB,512GB SSD,34990,6
Acer Aspire Lite AL15-52H,Acer,12th Gen Intel Core i5-12450H,16GB,512GB SSD,35091,7
HP 15-fd0467TU,HP,13th Gen Intel Core i5-1334U,16GB,512GB SSD,49050,8
Asus TUF Gaming A15 FA566NCR-HN117W,Asus,AMD Ryzen 5 7435HS,16GB,1TB SSD,66990,9
HP Victus 15-fb3012AX,HP,AMD Ryzen 5 8645HS,16GB,512GB SSD,10,
HP Victus 15-fa2382TX,HP,14th Gen Intel Core i5-14450HX,24GB,512GB SSD,84989,11
HP 15-fd0574TU,HP,13th Gen Intel Core i3-1315U,16GB,512GB SSD,38990,12
Dell Latitude 3550,Dell,13th Gen Intel Core i3-1315U,16GB,512GB SSD,35390,13
Samsung Galaxy Book np750xgj-kg2in,Samsung,13th Gen Intel Core i5-1335U,16GB,512GB SSD,49700,14
Lenovo V15 G4 82C70081GE,Lenovo,AMD Ryzen 5 7520U,16GB,512GB SSD,34490,15
Asus Expertbook P1 P1503CVA-S71042WS,Asus,13th Gen Intel Core i5,16GB,512GB SSD,57990,16
Asus Vivobook X1605VA-SH1952WS OLED,Asus,13th Gen Intel Core i5,16GB,512GB SSD,53990,17
Samsung Galaxy Book NP750XGJ-KG3IN,Samsung,Intel Core 1355U,16GB,512GB SSD,56490,18
HP 15-fd1255TU,HP,Intel Core Ultra 125H,16GB,1TB,63990,19
Lenovo IdeaPad Slim 83K100C9IN,Lenovo,13th Gen Intel Core i5,16GB,512GB SSD,59980,20
Lenovo IdeaPad Slim 83KA004TIN,Lenovo,AMD Ryzen 7 8840HS,24GB,1TB,66990,21
Lenovo IdeaPad Slim 15IRH10 83K100C6IN,Lenovo,13th Gen Intel Core i5,16GB,512GB SSD,59190,22
Asus Vivobook 15 X1502VA-BQ1299WS,Asus,13th Gen Intel Core i5,16GB,1TB,62990,23
Dell Inspiron 15-BS658tx (3FQ15PA),Dell,Core i3 6th Gen,8 GB,1 TB,30000,24
Lenovo Ideapad 330-15IKB (81DE00WRIN),Lenovo,Core i3 8th Gen,4 GB,1 TB,32000,25
Dell Inspiron 3567 (A561215UIN9),Dell,Core i5 7th Gen,4 GB,1 TB,35000,26
Asus TUF Gaming F16 FX608JMR-RV049WS,Asus,Intel Core i5,16 GB,512 GB SSD,75000,27
Asus ROG Strix G16 G614PH-RV033WS,Asus,AMD Ryzen 7,16 GB,1 TB SSD,90000,28
Dell Inspiron 14 3467 14-ar003tu,Dell,Intel Core i3,4 GB,1 TB,33000,29
MSI VenturePro AI A1VEG-008IN,MSI,Intel Core i7,16 GB,1 TB SSD,120000,30
Victus 15-fb3025AX,HP,AMD Ryzen 5,8 GB,512 GB SSD,55000,31
Acer Aspire 3 A324-53,Acer,Intel Core i3,8 GB,256 GB SSD,38000,32
Pavilion 15-eh1137AU,HP,AMD Ryzen 5,8 GB,512 GB SSD,52000,33
MSI Thin B13UCX-1807IN,MSI,Intel Core i5,16 GB,512 GB SSD,85000,34
MSI Modern B12MO-1007IN,MSI,Intel Core i5,8 GB,512 GB SSD,68000,35
Dell Inspiron 3530,Dell,Intel Core i5,8 GB,512 GB SSD,59000,36
Lenovo V15,Lenovo,AMD Ryzen 3,8 GB,256 GB SSD,35000,37
Asus VivoBook X1504ZA-NJ521WS,Asus,Intel Core i5,8 GB,512 GB SSD,57000,38
Dell Vostro 3420,Dell,Intel Core i3,8 GB,256 GB SSD,42000,39
Dell Inspiron 3525,Dell,AMD Ryzen 5,8 GB,512 GB SSD,51000,40
Victus 15-fb1001AX,HP,AMD Ryzen 5,8 GB,512 GB SSD,56000,41
Acer Swift Neo SFN14-54H,Acer,Intel Core i5,16 GB,512 GB SSD,72000,42
Asus Vivobook S16 S3607CA-SH071WS,Asus,Intel Core i5,8 GB,512 GB SSD,63000,43
Pavilion 16-af0056TU,HP,Intel Core i3,8 GB,256 GB SSD,45000,44
Lenovo 100e Chromebook Gen 4,Lenovo,AMD,4 GB,32 GB eMMC,22000,45
