Station Name,Full Address,Locality/City/State,Operator
JW Marriott Hotel - UB City,"24, Vittal Mallya Rd, KG Halli, Shanthala Nagar","Bengaluru, Karnataka",Statiq
MB Sundaram Motors Kasturba Road,107 Kasturba Road,"Bengaluru, Karnataka",Statiq
GLIDA Audi Bengaluru,"No 1 & 2, Bannerghatta Main Rd","Bengaluru, Karnataka",Statiq
Statiq ITC Gardenia Station,"Near Basement Exit, ITC Gardenia, 1, Residency Rd, Ashok Nagar","Bengaluru, Karnataka",Statiq
Sunfuel - Bangalore Club,"No.10, Residency Rd, Shanthala Nagar","Bengaluru, Karnataka",Sunfuel
G Suresh,"Gangappanahalli,Cholanayakanahalli(p), Tavarekere(H), Near Magadi main road","Bangalore South, Karnataka - 562120",ElectricPe
S L V TYRE PUNCHERS SHOP,"34 1, doddaalladamara road, Ramohalli,kengeri hobi","Bengaluru, Karnataka 560060",ElectricPe
SUBHA 9 SKY VIEW,"SUBHA-9 SKY VUE, 89 3 and 90 1, Byagadadhenahalli Village, Chandapura Anekal Road, Kasaba Hobli, Anekal, Taluk","Bengaluru, Karnataka 562106",ElectricPe
Srinivas L R,"Dodda Byalakere, Hessaraghatta Hobli, Shivakote, Post","Bengaluru, Karnataka 560089",ElectricPe
Deepfleet,"Olde Bangalore Resort No. 206, Utopia Layout, Tharabanahalli","Bengaluru, Karnataka",ElectricPe
Rehoboth Motor Service,"Bannerghatta Main Road, Shanuboganahalli","Bengaluru, Karnataka 560083",ElectricPe
Kaveri Automobile,"KAVERI AUTOMOBIES SJR ROAD, 10 CHINNAPA REDDY BUILDING","Bengaluru, Karnataka 560043",ElectricPe
Ramu Garage,"1st Cross Someswara Temple Rd, Marathahalli Village, Marathahalli","Bengaluru, Karnataka 560037",ElectricPe
ABODE BREEZ APARTMENT,"Kammasandra Road Daadys garden layout, Electronic City",Karnataka 560100,ElectricPe
Sri Sai Foam Wash,Chikka Tirupathi,"Karnataka, India",ElectricPe
Sunfuel - Bangalore Golf Club,Bangalore Golf Club,"Bengaluru, Karnataka",Sunfuel
Sunfuel Test Station 1,Test Location,"Bengaluru, Karnataka",Sunfuel
Monk Mansion Charging Station,Monk Mansion,"Bengaluru, Karnataka",Unknown
Nexus Koramangala Charging Station,Nexus Koramangala,"Bengaluru, Karnataka",Unknown
Trifecta Adatto Charging Station,Trifecta Adatto,"Bengaluru, Karnataka",Unknown
Divyasree NR Enclave Charging Station,Divyasree NR Enclave,"Bengaluru, Karnataka",Unknown
Divyasree Greens Charging Station,Divyasree Greens,"Bengaluru, Karnataka",Unknown
More Store Hosur Road Charging Station,More Store Hosur Road,"Bengaluru, Karnataka",Unknown
Nexus Whitefield Charging Station,Nexus Whitefield,"Bengaluru, Karnataka",Unknown
DoubleTree Suites by Hilton Bangalore ORR Charging,DoubleTree Suites by Hilton Bangalore ORR,"Bengaluru, Karnataka",Unknown
