Scheme Name,Sector,Primary Purpose,Key Benefits,Target Beneficiaries
PM Yuva Kaushal Vikas Yojana 2.0,Education/Skill Development,Enhance youth employability,"Skill training, job placement assistance, industry-relevant curriculum",Unemployed youth (18-35 years)
National Digital Health Mission 2.0,Healthcare,Create a digital health ecosystem,"Digital health records, telemedicine access, improved healthcare delivery",All Indian citizens
PM Gram Sadak Yojana - Phase IV,Infrastructure/Rural Development,Improve rural connectivity,"All-weather roads, better access to markets and services, economic growth",Rural population
Jal Jeevan Mission (Urban),Urban Development/Water Resources,Provide safe drinking water to all urban households,"Piped water supply, improved sanitation, reduced waterborne diseases",Urban households
PM Kisan Urja Suraksha evam Utthan Mahabhiyan (KUSUM) - Expansion,Agriculture/Renewable Energy,Promote solar energy in agriculture,"Solar pumps, income generation for farmers, reduced dependence on fossil fuels",Farmers
National Mission on Edible Oils - Oil Palm 2.0,Agriculture,Increase domestic production of edible oils,"Increased farmer income, reduced import dependence, food security",Farmers
Ayushman Bharat Digital Mission - Integration with Private Healthcare,Healthcare/Digital Infrastructure,Seamless healthcare information exchange,"Improved patient care, reduced costs, enhanced efficiency",Healthcare providers and patients
PM Awas Yojana - Affordable Rental Housing Complexes (ARHCs) for Migrant Workers,Housing/Labor,Provide affordable housing for migrant workers,"Safe and hygienic housing, reduced commuting time, improved living standards",Migrant workers
National Green Hydrogen Mission - Implementation Phase,Renewable Energy/Environment,Promote green hydrogen production and usage,"Reduced carbon emissions, energy security, job creation","Energy sector, industries"
PM Gati Shakti National Master Plan - Integration with State Infrastructure,Infrastructure,Integrated infrastructure planning and development,"Reduced logistics costs, improved efficiency, economic growth","Businesses, citizens"
Digital Krishi Mission 2.0,Agriculture/Technology,Promote digital technologies in agriculture,"Improved farm productivity, better market access, reduced input costs",Farmers
National Education Policy (NEP) 2020 - Implementation Support Scheme,Education,Support implementation of NEP 2020,"Improved education quality, skill development, holistic learning","Students, teachers, educational institutions"
Mission Shakti - Integrated Women Empowerment Programme,Women & Child Development,Empowerment of women through integrated interventions,"Improved safety, economic empowerment, access to justice",Women
PM CARES for Children - Extended Support,Social Welfare,Support children who lost parents during COVID-19,"Education, healthcare, financial assistance",Children who lost parents during COVID-19
National Logistics Policy - Implementation Framework,Infrastructure/Trade,Improve logistics efficiency,"Reduced logistics costs, faster delivery, increased competitiveness",Businesses
Production Linked Incentive (PLI) Scheme - Expansion to New Sectors (Toys),Manufacturing,Boost domestic manufacturing,"Increased investment, job creation, export promotion",Manufacturers
National Clean Air Programme (NCAP) - Expansion to More Cities,Environment,Reduce air pollution,"Improved air quality, reduced health risks, environmental sustainability",Citizens
Atal Innovation Mission (AIM) - Expansion to Rural Areas,Innovation/Education,Promote innovation and entrepreneurship,"Innovation ecosystem, startup support, job creation","Students, entrepreneurs"
Pradhan Mantri Matsya Sampada Yojana (PMMSY) - Phase II,Fisheries,Sustainable development of fisheries sector,"Increased fish production, improved livelihoods for fishermen, export promotion",Fishermen
National Livestock Mission - Breed Improvement Programme,Animal Husbandry,Improve livestock productivity,"Increased milk and meat production, improved farmer income, food security",Farmers
PM SVANidhi - Micro-credit Scheme for Street Vendors - Expansion,MSME/Urban Development,Provide affordable credit to street vendors,"Financial inclusion, improved livelihoods, economic empowerment",Street vendors
Skill India Mission - Recognition of Prior Learning (RPL) Programme,Skill Development,Certify skills of informal sector workers,"Improved employability, higher wages, social recognition",Informal sector workers
National Rural Livelihoods Mission (NRLM) - Expansion to Tribal Areas,Rural Development,Empower rural women through self-help groups,"Improved livelihoods, financial inclusion, social empowerment",Rural women
Pradhan Mantri Jan Dhan Yojana (PMJDY) - Enhanced Overdraft Facility,Financial Inclusion,Promote financial inclusion,"Access to banking services, credit, insurance",Unbanked population
Mission Indradhanush 5.0,Healthcare,Increase full immunization coverage,"Protection against vaccine-preventable diseases, improved child health",Children and pregnant women
National Food Security Mission (NFSM) - Focus on Pulses Production,Agriculture/Food Security,Increase pulses production,"Improved food security, higher farmer income, reduced import dependence",Farmers
PM Mudra Yojana - Focus on Women Entrepreneurs,MSME/Finance,Provide easy loans to small businesses,"Access to credit, business growth, job creation",Women entrepreneurs
Swachh Bharat Mission (Gramin) - Phase III,Sanitation/Rural Development,Improve rural sanitation,"Open defecation free villages, improved health, hygiene",Rural population
e-NAM - Integration with More Agricultural Markets,Agriculture/Trade,Promote online trading of agricultural commodities,"Better price discovery, reduced transaction costs, improved market access",Farmers
Startup India Seed Fund Scheme - Expansion to Tier II and Tier III Cities,Startups/Finance,Provide seed funding to startups,"Startup growth, job creation, innovation",Startups
National Sports Development Fund - Focus on Grassroots Sports,Sports,Promote sports at the grassroots level,"Increased participation in sports, talent development, improved health",Young athletes
Digital India Bhashini - AI-Powered Language Translation Platform,Technology/Communication,Bridge the language barrier,"Access to information in local languages, improved communication, digital inclusion",All citizens
PM Vishwakarma Kaushal Samman (PM VIKAS) - Traditional Artisans and Craftspeople,Skill Development/Traditional Crafts,Upskill and support traditional artisans and craftspeople,"Improved livelihoods, preservation of traditional skills, market access",Artisans and craftspeople
National Electric Mobility Mission Plan (NEMMP) 2020 - Phase III,Automobile/Renewable Energy,Promote electric vehicle adoption,"Reduced pollution, energy security, job creation","Automobile manufacturers, consumers"
National Infrastructure Pipeline (NIP) - Accelerated Implementation,Infrastructure,Develop world-class infrastructure,"Economic growth, job creation, improved quality of life",All citizens
PM Formalisation of Micro Food Processing Enterprises (PMFME) Scheme - Expansion,Food Processing/MSME,Support micro food processing enterprises,"Improved livelihoods, value addition to agricultural produce, food security",Micro food processing enterprises
National Ayush Mission (NAM) - Integration with Modern Healthcare,Healthcare/Ayush,Promote traditional Indian systems of medicine,"Holistic healthcare, affordable treatment, wellness",All citizens
PM Kisan Samman Nidhi - Increased Benefit Amount,Agriculture,Provide income support to farmers,"Financial assistance, improved livelihoods, food security",Farmers
Atal Bhujal Yojana - Community-Led Groundwater Management,Water Resources/Rural Development,Improve groundwater management,"Water security, sustainable agriculture, improved livelihoods",Rural communities
National Mission for Clean Ganga (NMCG) - Accelerated Implementation,Environment/Water Resources,Clean the Ganga River,"Improved water quality, environmental sustainability, religious tourism",Citizens living along the Ganga River
Smart Cities Mission - Focus on Sustainability and Resilience,Urban Development,Develop smart and sustainable cities,"Improved quality of life, economic growth, environmental sustainability",Urban residents
Housing for All - Pradhan Mantri Awas Yojana (Urban) - Completion of Projects,Housing,Provide affordable housing to all urban households,"Safe and secure housing, improved living standards, economic empowerment",Urban households
National Health Mission (NHM) - Focus on Non-Communicable Diseases,Healthcare,Prevent and control non-communicable diseases,"Improved health outcomes, reduced healthcare costs, increased productivity",All citizens
Mission for Integrated Development of Horticulture (MIDH) - Focus on High-Value Crops,Agriculture,Promote horticulture development,"Increased farmer income, improved food security, export promotion",Farmers
Deendayal Antyodaya Yojana-National Urban Livelihoods Mission (DAY-NULM) - Skill Development for Urban Poor,Urban Development/Skill Development,Provide skill development and employment opportunities to the urban poor,"Improved livelihoods, financial inclusion, social empowerment",Urban poor
National Social Assistance Programme (NSAP) - Increased Pension Amounts,Social Welfare,Provide social security to vulnerable populations,"Financial assistance, improved living standards, social inclusion","Elderly, widows, persons with disabilities"
Pradhan Mantri Fasal Bima Yojana (PMFBY) - Improved Crop Insurance Coverage,Agriculture/Insurance,Provide crop insurance to farmers,"Financial protection against crop losses, improved farmer income, food security",Farmers
Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) - Focus on Water Conservation,Rural Development/Employment,Provide guaranteed employment to rural households,"Income generation, asset creation, water conservation",Rural households
Stand-Up India Scheme - Support for Women and SC/ST Entrepreneurs,MSME/Finance,Promote entrepreneurship among women and SC/ST communities,"Access to credit, business growth, job creation",Women and SC/ST entrepreneurs
