Station Name,Full Address,Locality/City/State,Operator
JW Marriott Hotel - UB City,24,"Bengaluru, KA",Statiq
MB Sundaram Motors Kasturba Road,107,"Bengaluru, KA",Statiq
Sunfuel - Bangalore Club,"No.10, Residency Rd, Shanthala Nagar","Bengaluru, KA",Statiq/Sunfuel
GLIDA Audi Bengaluru,No 1 2,"Bengaluru, KA",Statiq
Statiq ITC Gardenia Station,"Near Basement Exit, ITC Gardenia, 1, Residency Rd, Ashok Nagar","Bengaluru, KA",Statiq
Sunfuel - Bangalore Golf Club,N/A,"Bengaluru, KA",Sunfuel
Sunfuel Test Station 1,N/A,"Bengaluru, KA",Sunfuel
Monk Mansion Charging Station,N/A,"Bengaluru, KA",N/A
Nexus Koramangala Charging Station,N/A,"Bengaluru, KA",N/A
Trifecta Adatto Charging Station,N/A,"Bengaluru, KA",N/A
Divyasree NR Enclave Charging Station,N/A,"Bengaluru, KA",N/A
Divyasree Greens Charging Station,N/A,"Bengaluru, KA",N/A
More Store Hosur Road Charging Station,N/A,"Bengaluru, KA",N/A
Nexus Whitefield Charging Station,N/A,"Bengaluru, KA",N/A
DoubleTree Suites by Hilton Bangalore ORR Charging,N/A,"Bengaluru, KA",N/A
Taj Bengaluru Charging Station,N/A,"Bengaluru, KA",N/A
Nexus Shantiniketan Charging Station,N/A,"Bengaluru, KA",N/A
RMZ Eco World Infrastructure Charging Station,N/A,"Bengaluru, KA",N/A
B-7 DivyaSree LitBox Charging Station,N/A,"Bengaluru, KA",N/A
Siri Motors Charging Station,N/A,"Bengaluru, KA",N/A
Conrad Bengaluru,N/A,"Bengaluru, KA",N/A
G Suresh,"Gangappanahalli,Cholanayakanahalli(p), Tavarekere(H), Near Magadi main road","Bangalore South, Karnataka",goME
S L V TYRE PUNCHERS SHOP,"34 1, doddaalladamara road, Ramohalli,kengeri hobi","Bengaluru, Karnataka",goME
SUBHA 9 SKY VIEW,"SUBHA-9 SKY VUE, 89 3 and 90 1, Byagadadhenahalli Village, Chandapura Anekal Road, Kasaba Hobli, Anekal, Taluk","Bengaluru, Karnataka",goME
Srinivas L R,"Dodda Byalakere, Hessaraghatta Hobli, Shivakote, Post","Bengaluru, Karnataka",goME
